title,author,description,link,tags
"R for Data Science","Garrett Grolemund, Hadley Wickham","This book will teach you how to do data science with R","https://r4ds.had.co.nz/","tidyverse,ggplot2,dplyr,tidyr,readr"
"Hands-On Programming with R","Garrett Grolemund","This book will teach you how to program in R, with hands-on examples.","https://rstudio-education.github.io/hopr/","functions,programming,simulations"
"R Graphics Cookbook","Winston Chang","A practical guide that provides more than 150 recipes to help you generate high-quality graphs quickly","https://r-graphics.org/","ggplot2,data visualization"
"Modern Dive","Chester Ismay, Albert Y. Kim","Statistical Inference via Data Science","https://moderndive.com/","tidyverse,infer,broom,inference,regression,sampling,hypothesis testing,confidence intervals"
"An Introduction to Statistical Learning with Applications in R","Gareth James, Daniela Witten, Trevor Hastie, Robert Tibshirani","This book provides an introduction to statistical learning methods.","http://www-bcf.usc.edu/~gareth/ISL/","machine learning,supervised learning,unsupervised learning"
"Data Visualization A Practical Introduction","Kieran Healy","An introduction to both the ideas and the methods of data visualization in a sensible, comprehensible, reproducible way.","http://socviz.co/","data visualization,ggplot2"
"R Markdown: The Definitive Guide","Yihui Xie, J. J. Allaire, Garrett Grolemund","A definitive guide to the RMarkdown ecosystem","https://bookdown.org/yihui/rmarkdown/","rmarkdown,bookdown,blogdown,xaringan"
"R Packages","Hadley Wickham","Learn how to turn your code into packages that others can easily download and use.","http://r-pkgs.had.co.nz/","vignettes,testing,namespaces,git,github"
"Happy Git and GitHub for the useR","Jennifer Bryan","Instructions on how to install and integrate Git and GitHub into your daily work with R","https://happygitwithr.com/","git,github,version control"
"blogdown: Creating Websites with R Markdown","Yihui Xie, Amber Thomas, Alison Presmanes Hill","Instructions on how to create websites using R Markdown and Hugo","https://bookdown.org/yihui/blogdown/","rmarkdown,websites,blogs,hugo,netlify"
"Advanced R","Hadley Wickham","The book is designed primarily for R users who want to improve their programming skills and understanding of the language.","http://adv-r.had.co.nz/","functional programming,metaprogramming"
"Forecasting: Principles and Practice","Rob J Hyndman, George Athanasopoulos","A comprehensive introduction to forecasting methods","https://otexts.com/fpp2/","time series,ARIMA,forecast"
"Practical R for Mass Communication and Journalism","Sharon Machlis","Ideas, tools, and techniques for incorporating data and visualizations into your narratives.","http://www.machlis.com/R4Journalists/index.html","storytelling,data visualization,tidyverse"
"Text Mining with R","Julia Silge, David Robinson","Introduction of text mining using the tidytext package and other tidy tools in R.","https://www.tidytextmining.com/","tidytext,sentiment analysis,NLP"
"Feature Engineering and Selection: A Practical Approach for Predictive Models","Max Kuhn, Kjell Johnson","The goal of this book is to help practitioners build better models by focusing on the predictors.","http://www.feat.engineering/index.html","predictive modelling"
"bookdown: Authoring Books and Technical Documents with R Markdown","Yihui Xie","A guide to authoring books and technical documents with R Markdown.","https://bookdown.org/yihui/bookdown/","markdown,r markdown"
"21 Recipes for Mining Twitter Data with rtweet","Bob Rudis","Provides 21 easily adaptable Twitter mining recipes","https://rud.is/books/21-recipes/","rtweet,twitter,text mining"
"Interactive web-based data visualization with R, plotly, and shiny","Carson Sievert","Gain insight and practical skills for creating interactive and dynamic web graphics for data analysis from R","https://plotly-r.com/","plotly,tidyverse,shiny"
"Spatial Data Science","Edzer Pebesma, Roger Bivand","Introduces and explains the concepts underlying spatial data.","https://keen-swartz-3146c4.netlify.com/","sf,raster,maps"
"Efficient R programming","Colin Gillespie, Robin Lovelace","This book is for anyone who wants to make their R code faster to type, faster to run and more scalable.","https://csgillespie.github.io/efficientR/","microbenchmark,profvis"
"Fundamentals of Data Visualization","Claus O. Wilke","A guide to making visualizations that accurately reflect the data, tell a story, and look professional.","https://serialmentor.com/dataviz/","data visualization"
"Geospatial Health Data: Modeling and Visualization with R-INLA and Shiny","Paula Moraga","Describes spatial and spatio-temporal statistical methods and visualization techniques to analyze georeferenced health data in R.","https://paula-moraga.github.io/book-geospatial/","epidemiology,biostatistics,shiny,flexdashboard"
"Computational Genomics with R","Altuna Akalin","The aim of this book is to provide the fundamentals for data analysis for genomics.","http://compgenomr.github.io/book/","genome biology"
"Broadening Your Statistical Horizons: Generalized Linear Models and Multilevel Models","Julie Legler,Paul Roback","Intended to be accessible to undergraduate students who have successfully completed a regression course.","https://bookdown.org/roback/bookdown-bysh/","GLMs,modeling,poisson"
"Introduction to Econometrics with R","Christoph Hanck, Martin Arnold, Alexander Gerber, Martin Schmelzer","Aims to provide students with a platform-independent e-learning arrangement by seamlessly intertwining theoretical core knowledge and empirical skills in undergraduate econometrics","https://www.econometrics-with-r.org/","econometrics,panel data,time series"
"Geocomputation with R","Robin Lovelace, Jakub Nowosad, Jannes Muenchow","This book is for people who want to analyze, visualize and model geographic data with open source software. The book is designed for intermediate-to-advanced R users interested in geocomputation and R beginners who have prior experience with geographic data.","https://geocompr.robinlovelace.net/","sf,sp,spatial analysis,map"
"Spatial Data Science","Edzer Pebesma, Roger Bivand","This book introduces and explains the concepts underlying spatial data: points, lines, polygons, rasters, coverages, geometry attributes, data cubes, reference systems, as well as higher-level concepts including how attributes relate to geometries and how this affects analysis.","https://keen-swartz-3146c4.netlify.com/","spatial data analysis,maps"
